eventID,trackID,parentID,particle,time_ns,x_mm,y_mm,z_mm,energy_MeV,process,edep_MeV
3,32631,32619,e+,0.749806,4.29946,-8.57227,74.3712,8.18062,conv,0.304267
3,32674,32668,e+,0.779122,-3.75316,-8.08599,71.6142,1.69797,conv,0.0494889
3,32759,32750,e+,0.912281,1.96892,-25.0418,120.799,0,conv,0.638395
3,30,1,pi-,0.692205,7.44583,-0.602668,57.5043,398.166,protonInelastic,18.2398
3,32809,32801,e+,2.71169,13.0501,38.5323,84.3716,0,conv,0.374534
3,32770,30,pi-,0.844271,1.6128,15.5853,95.6576,144.026,pi-Inelastic,9.02477
3,32900,32837,e+,1.07449,31.0872,30.0779,118.174,0,conv,0.537894
3,32923,32911,e+,4.31391,39.4234,-4.24659,139.309,0,conv,0.725008
3,33011,33004,e+,1.79169,70.8574,27.595,102.826,0.21626,conv,0.0990377
3,33045,32829,e+,1.04529,37.1059,29.762,110.978,3.41076,conv,1.32167
3,33054,33046,e+,1.05224,35.8123,28.6326,109.798,0,conv,0.0200949
3,33128,33117,e+,10.3078,-28.8635,-1.98589,115.568,0.620921,conv,1.50203
3,33177,33082,mu+,19.9823,18.0961,-28.6785,93.4088,1.21518,Decay,2.90463
3,33180,33177,e+,5876.75,18.0859,-28.6746,93.4164,28.8597,Decay,0.0218067
3,33201,33183,e+,5876.83,1.21552,-16.0669,88.1384,6.76456,conv,1.45918
3,33178,33177,anti_nu_mu,5876.98,26.3089,-71.8768,145,47.92,Decay,0
3,33278,33237,e+,1.01409,-1.56513,-8.90763,121.747,4.70509,conv,0.293601
3,33302,33299,e+,3.4939,-15.6686,2.80563,143.809,0.783361,conv,1.18269
3,33354,33341,e+,6.94937,-15.6518,-22.9729,80.3743,0,conv,2.09859
3,33397,33363,e+,1.46584,3.71354,-22.5375,108.911,0.80802,conv,0.826705
3,33415,33409,e+,10.8538,2.98423,-22.6801,67.8585,0,conv,0.406561
3,33422,33408,e+,10.9054,-6.7724,-9.89422,64.0566,0,conv,1.76278
3,33442,33434,e+,2.46365,34.9655,-2.55271,60.578,0,conv,0.556125
3,33485,33483,e+,0.838923,7.9537,-0.764053,101.914,4.75859,conv,0.088309
3,33519,33515,e+,0.874377,13.008,1.18877,110.636,11.8873,conv,0.0695809
3,33552,33510,e+,0.888023,15.1686,2.27967,114.1,0,conv,1.73355
3,33565,33508,e+,0.897803,20.2633,2.3696,113.728,0,conv,1.6615
3,33592,33504,e+,0.913676,22.8379,3.14188,118.119,2.38467,conv,2.18178
3,33610,33503,e+,0.849718,10.2597,-0.477792,104.164,10.2353,conv,0.302637
3,33654,33501,e+,0.852322,10.8185,-0.30111,104.688,147.909,conv,2.29649
3,33691,33672,e+,0.951622,29.5024,-0.538218,127.729,0,conv,0.34545
